comment,cluster_name,cluster_size,cluster_prop,init_x,init_y,dim_red_x,dim_red_y,x,y
"Des normes autour de la construction des propriétés privées. Les limitations de vitesse qui varient trop souvent sur un trajet (je ne conteste pas du tout les 80 km/h), mais la succession des limites différentes ressemble à un « piège à c.. » Des délais parfois trop justes.",La limitation de vitesse à 80 km/h.,169,0.032815533980582526,1.1605514606587857,-0.9015897892900128,-72.462006,-5.787217,-10.39643132686615,-4.679336071014404
80 klms à l'heure ...............,La limitation de vitesse à 80 km/h.,169,0.032815533980582526,0.3545699060842794,0.3497983117519934,-73.37515,0.816471,-10.643819332122803,-5.917944550514221
La limitation de vitesse à 80 km/h.,La limitation de vitesse à 80 km/h.,169,0.032815533980582526,0.4738111844032008,0.8047635482273116,-69.2443,-4.8540726,-9.00793209951371,-6.23571851849556
80 km/h,La limitation de vitesse à 80 km/h.,169,0.032815533980582526,0.1061478480990642,-1.1220400829867814,-73.04526,-2.2204566,-9.964337527751923,-5.511911332607269
La limitation de vitesse à 80 kms.,La limitation de vitesse à 80 km/h.,169,0.032815533980582526,-0.08950465964585883,0.728644149667208,-67.26132,-5.1451607,-8.710427403450012,-6.69817852973938
le 80km/h généralisé,La limitation de vitesse à 80 km/h.,169,0.032815533980582526,0.8120657574642351,0.6376450052294952,-61.15024,-2.157745,-7.079333782196045,-6.656085968017578
les cartes grises; les permis de conduire;,La limitation de vitesse à 80 km/h.,169,0.032815533980582526,0.8527498937279878,1.726392847159911,17.946402,-54.70652,-8.29262900352478,-3.63970685005188
"La signalisation routière et les limitations de vitesse (Ex zone 30 km/h près des écoles... y compris pendant les vacances scolaires), le 80 km/h sur des deux voies parfaitement droites et dégagées",La limitation de vitesse à 80 km/h.,169,0.032815533980582526,1.206843170991469,0.48037553897631136,-72.56598,-3.7369819,-9.84567004442215,-5.040210247039795
Les 80 km/h,La limitation de vitesse à 80 km/h.,169,0.032815533980582526,-0.953322532440947,1.726983172253785,-72.77803,-2.2958603,-9.969196498394012,-5.689942687749863
limitation de vitesse à 80 hausse des taxes sur véhicules polluant trop de règles sociétales,La limitation de vitesse à 80 km/h.,169,0.032815533980582526,0.6898749475533175,-0.3606025935440708,-66.96777,-5.8474092,-8.564713805913925,-6.46660715341568
"Concernant les impôts : la déductibilité partielle de la CSG ; le traitement fiscal des revenus de source étrangère.  Sur les routes, la réduction de la limite de vitesse par temps de pluie.  C'est une règle absurde, mal rédigée, et apparemment jamais appliquée.  Toujours sur les routes, les multiples changements des limites de vitesse.",La limitation de vitesse à 80 km/h.,169,0.032815533980582526,-0.27914877054218856,-1.2084733058949697,-65.5318,-1.8035253,-7.862743854522705,-5.830420091748238
l'obtention de cartes grises.,La limitation de vitesse à 80 km/h.,169,0.032815533980582526,0.5396644204092882,1.8894972676880217,17.158587,-55.668762,-8.496110200881958,-3.7204267978668213
"la limitation de vitesse à 80 km/h, et bien d'autres paperasses inutiles",La limitation de vitesse à 80 km/h.,169,0.032815533980582526,0.9519461305749551,0.13082526425347385,-69.814545,-4.882911,-9.080867171287537,-6.033534172922373
"La limitation de vitesse, arbitraire et incompréhensible.",La limitation de vitesse à 80 km/h.,169,0.032815533980582526,0.6346394201149969,-0.20870421038325096,-65.47225,-5.041607,-8.147029221057892,-6.971176743507385
Obtention des cartes grises.,La limitation de vitesse à 80 km/h.,169,0.032815533980582526,0.5489423180417654,-0.9644444637726183,17.151247,-55.668953,-8.505141645669937,-3.7116732597351074
Ne pas dépasser le 80 km/h sur certaines routes,La limitation de vitesse à 80 km/h.,169,0.032815533980582526,-0.3485189962065484,0.5927110430470852,-70.62397,-0.2405749,-9.996546685695648,-6.5557878613471985
une règle inutile est sûrement la limitation à 80 km/h au lieu de 90 !!!,La limitation de vitesse à 80 km/h.,169,0.032815533980582526,0.5153439526798865,-1.627642154243655,-70.39941,-2.4587948,-9.444685488939285,-5.531982213258743
