comment,cluster_name,cluster_size,cluster_prop,init_x,init_y,dim_red_x,dim_red_y,x,y
solaire,"panneaux solaire ,géothermie",1196,0.13346724695904474,-1.2573413147564898,0.0482441798028349,22.045172,27.733786,-7.6812461614608765,-6.882511913776398
Solaire,"panneaux solaire ,géothermie",1196,0.13346724695904474,0.8439819877911102,-0.26663218910559566,22.04686,27.732021,-7.6730877161026,-6.8473528027534485
solaire,"panneaux solaire ,géothermie",1196,0.13346724695904474,-0.07637312949725707,-0.004481030633547423,22.046133,27.732815,-7.69747519493103,-6.878649294376373
solaire,"panneaux solaire ,géothermie",1196,0.13346724695904474,1.5130502391367269,0.677725600894918,22.045351,27.731586,-7.702402114868164,-6.787583410739899
solaire,"panneaux solaire ,géothermie",1196,0.13346724695904474,-2.2606593736296925,-0.751459816394745,22.046204,27.732487,-7.700273633003235,-6.84043151140213
Solaire,"panneaux solaire ,géothermie",1196,0.13346724695904474,-0.34972005360754704,0.5665341723330192,22.044992,27.732916,-7.653568744659424,-6.800128638744354
solaire,"panneaux solaire ,géothermie",1196,0.13346724695904474,-0.004829705263274285,0.7563123699493045,22.04711,27.73395,-7.634013414382935,-6.838163673877716
solaire,"panneaux solaire ,géothermie",1196,0.13346724695904474,-0.33283432604108437,-1.3347131111101096,22.046934,27.733637,-7.742755174636841,-6.811410367488861
solaire,"panneaux solaire ,géothermie",1196,0.13346724695904474,-1.2950724253947539,-1.039857110507365,22.045204,27.735004,-7.7360804080963135,-6.86591899394989
eklectricité solaire,"panneaux solaire ,géothermie",1196,0.13346724695904474,-1.3839674772150328,-1.5096454981849436,22.04776,27.73266,-7.747477293014526,-6.852034211158752
solaire,"panneaux solaire ,géothermie",1196,0.13346724695904474,-0.3114291199782894,0.09172927987009945,22.04754,27.733541,-7.710512280464172,-6.821890294551849
solaire,"panneaux solaire ,géothermie",1196,0.13346724695904474,1.4623324980092154,0.2925824044885465,22.04687,27.732998,-7.640063166618347,-6.815143942832947
solaire,"panneaux solaire ,géothermie",1196,0.13346724695904474,2.1263330227524464,-0.18205493772585243,22.04614,27.733427,-7.719033718109131,-6.880709767341614
solaire,"panneaux solaire ,géothermie",1196,0.13346724695904474,-0.18768067000511493,0.705534436588786,22.045277,27.734613,-7.677634000778198,-6.8213664293289185
Solaire,"panneaux solaire ,géothermie",1196,0.13346724695904474,-0.31184124956105747,2.5901151163633274,22.046824,27.73327,-7.656256318092346,-6.873437941074371
